Alimento,Categoria,Quant. (g),Energia (kcal),CHO (g),PTN (g),LIP (g),Fibra (g),Colesterol (mg),AG-Sat. (g),AG-Mono. (g),AG-Poli. (g),? 6 (g),? 3 (g),AG-trans (g),Ca (mg),Mg (mg),Mn (mcg),P (mg),Fe (mg),Na (mg),K (mg),Cu (mg),Zn (mg),Sel (mcg),Vit. A (mcg),Vit. B1 (mg),Vit. B2 (mg),Vit. B3 (mg),Vit. B5 (mg),Vit. B6 (mg),Vit. B12 (mcg),Vit. B9 (mcg),Vit. D (mcg),Vit. E (mg),Vit. C (mg)
Leite integral (pó),Leite e derivados,100,500.00,39.20,25.40,26.90,0.00,85.30,16.30,7.10,0.50,0.96,0.60,0.94,890.00,77.40,0.00,1242.00,0.52,323.00,1131.00,0.11,2.73,0.00,1481.00,0.39,1.02,0.00,-,0.00,3.16,36.00,0.50,3.21,8.37
Mingau (amido de milho),Leite e derivados,100,154.00,30.50,2.43,2.60,0.10,9.79,1.60,0.84,0.20,0.50,0.06,0.00,85.50,8.18,0.00,66.60,0.09,53.30,107.00,0.02,0.31,4.26,38.60,0.03,0.18,1.14,-,0.00,0.28,3.28,0.00,0.06,0.00
Mingau (aveia),Leite e derivados,100,109.00,15.10,4.11,3.84,0.82,11.90,2.06,1.17,0.37,0.50,0.06,0.00,107.00,19.40,0.16,91.60,0.45,62.10,156.00,0.06,0.59,4.64,46.80,0.07,0.22,1.74,-,0.00,0.34,7.72,0.00,0.07,0.08
Mingau,Leite e derivados,100,361.00,89.30,0.58,0.37,0.88,0.00,0.10,0.00,0.10,0.50,0.06,0.00,522.00,4.28,0.00,273.00,42.00,14.90,0.00,0.00,15.20,0.00,0.08,3.41,0.00,19.40,-,3.11,0.00,3.62,0.00,0.31,0.00
Queijo cheddar,Leite e derivados,100,403.00,3.09,22.90,33.30,0.00,99.00,18.90,9.25,1.42,0.61,0.38,0.92,710.00,27.00,0.03,455.00,0.14,653.00,76.00,0.03,3.64,28.50,330.00,0.03,0.04,0.06,-,0.07,1.10,27.00,0.60,0.71,0.00
Queijo coalho,Leite e derivados,100,335.00,1.94,23.70,25.90,0.00,80.20,13.90,5.87,0.35,0.64,0.26,1.04,731.00,28.50,0.02,423.00,0.23,526.00,126.00,0.07,2.82,0.00,117.00,0.03,0.34,0.00,-,0.00,0.35,63.20,0.27,0.65,0.53
Queijo fundido,Leite e derivados,100,302.00,0.10,27.40,21.40,0.00,64.00,12.40,5.69,0.31,0.61,0.38,0.80,384.00,19.00,0.02,687.00,0.32,928.00,230.00,0.05,1.55,0.00,616.00,0.00,0.24,0.00,-,0.00,1.22,4.77,0.00,0.00,0.00
Queijo minas frescal,Leite e derivados,100,242.00,3.02,15.90,18.60,0.00,62.00,11.40,5.80,0.40,0.27,0.15,0.66,611.00,14.80,0.02,123.00,0.93,31.20,104.00,0.00,1.51,9.90,629.00,0.00,0.25,0.00,-,0.00,1.40,5.83,2.11,0.29,0.00
Queijo minas,Leite e derivados,100,295.00,7.54,20.40,20.40,0.00,53.10,8.14,5.59,0.34,0.27,0.15,0.99,743.00,45.20,0.03,326.00,0.66,665.00,107.00,0.05,1.70,0.00,0.00,0.03,0.32,0.00,-,0.00,1.79,7.15,0.59,0.39,0.00
Queijo muçarela,Leite e derivados,100,320.00,1.97,23.80,24.10,0.00,76.20,13.60,5.70,0.48,0.57,0.21,0.82,774.00,22.80,0.03,463.00,0.27,506.00,68.40,0.06,3.61,18.20,109.00,0.00,0.20,0.00,-,0.00,2.45,7.51,0.43,0.21,0.00
Queijo parmesão ralado,Leite e derivados,100,477.00,4.83,32.10,36.70,2.52,42.00,21.20,9.52,0.44,0.94,0.19,1.28,1050.00,33.90,0.05,756.00,1.70,1480.00,97.80,0.17,4.43,0.00,0.00,0.00,0.45,0.00,-,0.24,1.36,7.91,0.71,0.31,0.00
Queijo pasteurizado,Leite e derivados,100,309.00,4.12,10.50,27.90,0.00,82.20,15.90,7.30,0.40,0.61,0.38,1.03,323.00,16.00,0.01,577.00,0.27,780.00,193.00,0.05,1.30,0.00,804.00,0.00,0.20,0.00,-,0.00,1.03,4.04,0.00,0.00,0.00
Queijo petit suisse,Leite e derivados,100,122.00,18.50,5.79,2.84,0.00,12.10,1.60,0.80,0.00,0.61,0.38,0.09,730.00,26.50,0.02,448.00,0.14,412.00,121.00,0.01,2.66,0.00,0.00,0.22,0.27,2.68,-,0.21,0.62,11.60,0.00,0.00,0.00
Queijo prato,Leite e derivados,100,345.00,0.20,24.20,27.60,0.00,90.90,16.30,6.78,0.53,0.45,0.18,0.87,802.00,27.90,0.03,467.00,0.26,550.00,79.70,0.07,3.37,0.00,0.00,0.00,0.22,0.00,-,0.00,2.52,7.75,0.05,0.23,0.00
Queijo provolone,Leite e derivados,100,350.00,2.14,25.60,26.60,0.00,69.00,17.20,7.39,0.77,0.49,0.28,0.00,756.00,28.00,0.00,496.00,0.52,876.00,138.00,0.00,3.23,0.00,236.00,0.02,0.32,0.16,-,0.07,1.46,10.00,0.50,0.23,0.00
Queijo requeijão,Leite e derivados,100,281.00,3.03,9.91,25.50,0.00,80.20,14.90,6.96,0.33,0.39,0.25,0.72,283.00,10.80,0.02,488.00,0.13,608.00,101.00,0.05,1.40,13.00,213.00,0.00,0.21,0.00,-,0.00,0.39,11.80,0.45,0.69,0.00
Queijo ricota,Leite e derivados,100,138.00,3.79,12.60,8.11,0.00,48.70,4.50,2.40,0.20,0.27,0.11,0.25,253.00,11.80,0.00,161.00,0.14,282.00,112.00,0.00,0.46,0.00,75.00,0.00,0.15,0.00,-,0.00,0.32,11.20,0.12,0.07,0.00
Queijo tilst,Leite e derivados,100,265.00,42.80,6.92,7.37,0.00,102.00,16.80,7.14,0.72,0.61,0.38,0.00,700.00,13.00,0.00,500.00,0.23,753.00,65.00,0.00,3.22,26.90,71.00,0.06,0.36,0.20,-,0.06,2.10,20.00,20.00,0.00,0.00
Camarão,Carnes e ovos,100,108.00,0.00,23.60,1.58,0.00,102.00,0.50,0.38,0.52,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Camarão (frito),Carnes e ovos,100,135.00,0.00,28.80,2.23,0.00,137.00,0.41,0.51,1.22,1.33,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Carne bovina,Carnes e ovos,100,110.00,0.64,18.60,3.69,0.00,51.00,1.32,1.52,0.27,0.42,0.16,0.15,5.00,20.00,0.02,242.00,2.05,853.00,647.00,0.09,3.20,14.70,3.00,0.04,0.21,5.58,-,0.46,2.04,5.00,0.00,0.49,0.00
Carne (cozida),Carnes e ovos,100,207.00,0.00,31.80,8.92,0.00,71.10,3.50,4.10,0.20,0.42,0.16,0.24,3.98,13.80,0.00,188.00,1.70,41.10,251.00,0.07,4.97,0.00,2.06,0.00,0.00,3.26,-,0.00,1.77,0.00,0.00,1.00,0.00
Carne de frango caipira,Carnes e ovos,100,236.00,0.01,23.90,15.60,0.00,109.00,4.40,7.50,2.30,2.57,0.11,0.04,16.80,18.30,0.01,161.00,1.66,56.10,210.00,0.08,1.70,0.00,16.20,0.03,0.00,6.33,-,0.00,0.30,5.23,0.00,0.34,1.83
Carne de porco,Carnes e ovos,100,287.00,0.79,32.10,17.30,0.00,106.00,6.53,7.50,2.29,1.71,0.06,0.10,31.50,22.70,0.00,241.00,0.89,55.70,344.00,0.06,2.52,0.00,1.95,0.67,0.07,6.96,-,0.03,0.87,2.49,1.12,0.16,0.12
Crustáceo (camarão),Carnes e ovos,100,45.00,0.00,10.30,0.43,0.00,107.00,0.10,0.10,0.20,0.03,0.02,0.00,43.90,23.50,0.04,242.00,0.57,208.00,74.60,0.10,0.61,25.00,17.20,0.00,0.00,0.00,-,0.00,0.74,12.60,0.04,0.56,0.00
Crustáceo (caranguejo),Carnes e ovos,100,98.00,0.22,19.80,2.02,0.00,84.60,0.20,0.20,0.00,0.03,0.02,0.00,357.00,52.20,0.07,153.00,2.10,360.00,185.00,0.92,6.14,0.00,0.00,0.04,0.31,4.17,-,0.00,3.91,59.90,0.00,5.03,0.00
Crustáceo (lagosta),Carnes e ovos,100,83.00,0.08,19.00,0.74,0.00,34.30,0.12,0.13,0.00,-,-,0.00,41.10,33.20,0.00,149.00,0.37,147.00,135.00,1.75,1.81,0.00,2.29,0.01,0.04,3.19,-,0.11,2.63,0.65,0.00,0.00,1.37
Crustáceo (siri),Carnes e ovos,100,78.00,0.00,17.90,0.74,0.00,97.00,0.20,0.13,0.26,0.03,0.02,0.01,91.00,36.00,0.07,234.00,0.50,395.00,259.00,0.81,3.81,42.80,1.00,0.02,0.09,2.75,-,0.16,3.33,51.00,0.00,1.84,3.30
Lingüiça de frango (grelhada),Carnes e ovos,100,242.00,1.00,18.20,18.40,0.00,80.50,4.70,6.80,3.40,3.00,0.17,0.04,13.90,21.10,0.10,228.00,0.72,1351.00,355.00,0.09,1.03,0.00,0.00,0.12,0.04,5.97,-,0.00,0.50,66.80,0.41,5.57,0.14
Lingüiça (frita),Carnes e ovos,100,256.00,0.00,19.40,19.90,0.00,75.20,5.75,7.70,3.50,3.46,0.32,0.04,11.00,22.10,0.31,230.00,1.07,1374.00,359.00,0.10,3.54,0.00,0.00,0.26,0.06,5.75,-,0.00,0.84,0.86,1.02,0.66,0.00
Lingüiça de porco (defumada),Carnes e ovos,100,293.00,0.86,20.90,22.90,0.00,69.00,5.22,6.52,2.22,3.46,0.32,0.04,6.00,16.60,0.01,205.00,0.58,1533.00,412.00,0.06,2.27,9.00,0.00,0.64,0.07,3.39,-,0.00,0.91,8.00,0.00,0.00,2.00
Lingüiça de porco (grelhada),Carnes e ovos,100,291.00,0.45,23.20,21.90,0.00,81.70,7.00,8.70,2.60,3.46,0.32,0.03,8.14,18.80,0.01,209.00,1.01,1455.00,426.00,0.07,3.48,0.00,0.00,0.40,0.07,6.60,-,0.00,0.97,0.99,1.13,0.72,0.00
Lingüiça calabresa,Carnes e ovos,100,256.00,1.00,18.00,20.00,0.00,53.50,6.93,9.26,2.13,3.46,0.32,0.00,6.93,11.90,0.00,105.00,0.99,839.00,187.00,0.00,2.09,0.00,0.00,0.26,0.17,3.20,-,0.17,1.50,3.96,0.83,0.00,0.00
Lingüiça toscana,Carnes e ovos,100,268.00,1.00,12.00,24.00,0.00,64.20,8.48,11.20,2.20,3.46,0.32,0.00,12.30,15.40,0.00,133.00,1.18,1329.00,290.00,0.00,2.53,0.00,0.00,0.39,0.22,3.19,-,0.20,2.74,5.12,0.42,0.00,0.00
Lula,Carnes e ovos,100,97.00,0.00,20.90,1.50,0.00,249.00,0.40,0.06,0.40,1.33,0.19,0.00,14.00,45.00,0.00,0.00,1.62,355.00,195.00,0.00,1.62,0.00,0.00,0.11,0.05,1.78,-,0.00,0.00,0.00,0.00,0.00,1.00
Mexilhão,Carnes e ovos,100,77.00,0.00,15.90,1.59,0.00,19.90,0.30,0.36,0.43,0.03,0.01,0.00,16.40,18.40,2.27,141.00,42.00,183.00,133.00,2.88,2.99,0.00,32.30,0.15,0.21,1.49,-,0.05,12.00,37.90,0.00,0.00,6.77
Ostra,Carnes e ovos,100,97.00,3.18,15.80,2.34,0.00,53.10,1.00,0.86,0.30,0.12,0.10,0.00,4.26,20.60,2.34,199.00,52.30,57.50,290.00,2.51,78.50,0.00,0.00,0.17,0.21,5.13,-,0.39,4.49,11.40,0.00,0.14,0.00
Polvo,Carnes e ovos,100,155.00,4.40,29.80,2.08,0.00,96.00,0.45,0.32,0.48,-,-,0.00,106.00,60.00,0.05,279.00,9.54,463.00,630.00,0.74,3.36,89.60,90.00,0.06,0.08,3.78,-,0.65,36.00,24.00,0.00,1.20,8.00
Molusco (vieira),Carnes e ovos,100,111.00,5.40,20.50,0.84,0.00,41.00,0.22,0.08,0.22,0.03,0.01,0.00,10.00,37.00,0.03,426.00,0.58,667.00,314.00,0.03,1.55,21.70,2.00,0.01,0.02,1.08,-,0.11,2.15,20.00,0.00,0.00,0.00
Ovo de codorna,Carnes e ovos,100,1.00,11.10,0.00,1.07,568.00,2.70,0.11,57.30,3.35,1.19,0.04,128.00,10.50,0.00,0.10,1.72,279.00,78.70,0.04,156.00,156.00,1.40,0.11,0.15,1.62,0.00,-,67.90,1.62,67.90,0.12,0.97,0.00
Ovo de galinha,Carnes e ovos,100,135.00,2.13,11.30,9.05,0.00,361.00,2.64,3.66,1.22,1.19,0.04,0.02,40.40,10.70,0.00,157.00,1.79,160.00,143.00,0.06,1.33,15.00,158.00,0.07,0.58,0.72,-,0.00,0.87,46.00,1.90,1.00,0.00
Ovo de galinha (cozido),Carnes e ovos,100,125.00,1.38,10.40,8.70,0.00,364.00,2.66,3.49,1.01,1.19,0.04,0.02,43.20,9.87,0.02,161.00,1.33,128.00,121.00,0.03,1.09,15.00,113.00,0.07,0.26,0.00,-,0.00,0.93,36.90,1.80,0.84,0.00
Ovo de galinha (vermelho),Carnes e ovos,100,133.00,2.58,10.20,9.16,0.00,366.00,2.68,3.71,1.24,1.19,0.04,0.02,39.30,11.80,0.00,153.00,1.46,157.00,140.00,0.06,1.01,16.10,0.00,0.07,0.54,0.70,-,0.16,0.85,45.00,1.93,1.01,0.00
Ovo de pata,Carnes e ovos,100,164.00,2.34,12.20,11.80,0.00,755.00,3.15,5.58,1.05,1.19,0.04,0.00,59.50,15.80,0.00,204.00,3.58,135.00,206.00,0.00,1.31,0.00,165.00,0.15,0.38,0.19,-,0.23,5.02,74.40,1.45,1.15,0.00
Peixe corimba (água doce),Carnes e ovos,100,234.00,3.15,16.10,17.50,0.00,117.00,7.33,6.74,0.88,0.01,0.02,0.12,62.50,35.50,0.03,296.00,0.79,73.30,494.00,0.05,1.01,0.00,0.00,0.00,0.00,2.92,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe corimbatá (água doce),Carnes e ovos,100,226.00,0.00,19.70,16.40,0.00,74.60,4.45,6.47,2.28,0.01,0.02,0.00,64.70,22.80,0.02,185.00,0.62,37.20,253.00,0.05,0.95,0.00,0.00,0.00,0.00,2.09,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe corvina (água doce),Carnes e ovos,100,96.00,0.03,18.10,2.64,0.00,73.10,1.20,0.70,0.10,0.01,0.02,0.01,39.40,24.50,0.02,153.00,0.26,45.10,293.00,0.02,0.36,0.00,8.12,0.00,0.08,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe dourado (água doce),Carnes e ovos,100,100.00,0.00,18.40,2.97,0.00,52.00,2.97,1.42,0.36,0.01,0.02,0.02,12.10,26.30,0.01,189.00,0.15,40.30,392.00,0.02,0.48,0.00,0.00,0.00,0.00,3.70,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe lambari (água doce),Carnes e ovos,100,149.00,0.57,15.70,9.40,0.00,144.00,3.40,3.28,1.10,0.01,0.02,0.00,590.00,31.60,0.41,440.00,0.63,41.10,207.00,0.05,2.42,0.00,0.00,0.00,0.03,1.86,-,0.07,0.00,0.00,0.00,0.00,0.00
Peixe pintado (água doce),Carnes e ovos,100,183.00,0.56,36.50,3.98,0.00,125.00,1.80,1.30,0.30,0.01,0.02,0.00,113.00,42.40,0.08,331.00,0.78,81.00,527.00,0.04,2.10,0.00,0.00,0.03,0.00,6.63,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe tilápia (água doce),Carnes e ovos,100,93.00,0.00,18.10,2.30,0.00,67.70,0.79,0.67,0.49,0.01,0.02,0.00,10.00,27.00,0.00,170.00,0.56,52.00,302.00,0.00,0.33,0.00,0.00,0.04,0.06,3.90,-,0.16,1.58,24.00,4.20,0.54,0.00
Peixe tucunaré (água doce),Carnes e ovos,100,132.00,1.85,22.00,4.15,0.00,159.00,2.04,1.36,1.36,0.01,0.02,0.03,29.40,39.30,0.02,257.00,0.41,86.60,441.00,0.15,1.50,0.00,0.00,0.00,0.08,1.38,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe abadejo (água salgada),Carnes e ovos,100,85.00,0.00,19.10,0.94,0.00,86.90,0.38,0.26,0.17,0.01,0.02,0.00,16.70,15.70,0.00,350.00,0.33,189.00,145.00,0.03,0.44,0.00,0.00,0.00,0.00,0.00,-,0.00,2.16,12.40,0.00,0.00,0.00
Peixe anchova (água salgada),Carnes e ovos,100,179.00,0.00,16.80,12.40,0.00,154.00,3.29,3.04,4.20,0.01,0.02,0.00,169.00,47.10,0.00,200.00,3.74,119.00,440.00,0.00,1.98,0.00,38.50,0.06,0.29,16.10,-,0.16,0.71,10.30,0.00,1.46,0.00
Peixe atum (água salgada),Carnes e ovos,100,109.00,0.04,25.50,0.87,0.00,47.80,0.50,0.20,0.00,0.01,0.02,0.00,7.30,29.00,0.00,253.00,1.27,30.30,307.00,0.09,0.40,0.00,20.00,0.00,0.04,5.94,-,0.00,8.19,1.74,1.01,0.18,0.00
Peixe bacalhau (água salgada),Carnes e ovos,100,127.00,0.00,28.80,1.32,0.00,138.00,0.60,0.30,0.20,0.01,0.02,0.00,156.00,49.50,0.03,186.00,0.85,13585.00,433.00,0.09,0.67,0.00,0.00,0.00,0.21,4.69,-,0.00,6.25,15.60,2.23,1.58,2.19
Peixe cação (água salgada),Carnes e ovos,100,82.00,1.87,17.30,0.67,0.00,36.10,0.10,0.10,0.20,0.01,0.02,0.00,8.55,21.30,0.04,181.00,0.20,176.00,299.00,0.13,0.35,31.30,6.00,0.04,0.00,1.31,-,0.00,1.18,2.37,0.09,0.15,0.00
Peixe corvina (água salgada),Carnes e ovos,100,116.00,0.00,23.30,2.56,0.00,122.00,0.75,0.62,0.63,0.01,0.02,0.00,69.40,22.20,0.02,163.00,0.58,68.40,194.00,0.03,0.69,0.00,0.00,0.00,0.03,0.00,-,0.00,1.38,29.50,0.00,0.00,0.00
Peixe manjuba (água salgada),Carnes e ovos,100,342.00,0.49,30.10,24.50,0.00,270.00,5.30,6.00,11.70,0.01,0.02,0.00,575.00,31.70,0.21,735.00,0.92,40.60,318.00,0.14,3.23,0.00,12.10,0.03,0.03,7.27,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe merluza (água salgada),Carnes e ovos,100,116.00,0.51,26.60,0.92,0.00,91.00,0.20,0.10,0.30,0.01,0.02,0.00,35.90,20.30,0.03,273.00,0.37,119.00,363.00,0.03,0.89,0.00,0.00,0.00,0.00,7.97,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe pescada branca (água salgada),Carnes e ovos,100,104.00,0.04,16.00,4.49,0.00,50.80,0.80,2.40,0.90,0.01,0.02,0.01,15.70,19.20,0.01,135.00,0.16,76.20,261.00,0.00,0.25,0.00,2.77,0.00,0.04,0.00,-,0.00,0.79,11.80,9.19,0.15,0.00
Peixe pescada (água salgada),Carnes e ovos,100,101.00,0.03,16.40,4.00,0.00,64.80,0.90,2.30,0.30,0.01,0.02,0.01,13.50,22.80,0.01,141.00,0.17,77.50,253.00,0.00,0.25,0.00,47.90,0.00,0.05,0.00,-,0.00,0.78,11.70,8.20,0.00,0.00
Peixe pescadinha (água salgada),Carnes e ovos,100,77.00,0.44,16.30,1.22,0.00,83.60,0.30,0.20,0.40,0.01,0.02,0.00,331.00,33.80,0.07,326.00,0.55,120.00,303.00,0.10,0.55,0.00,0.00,0.08,0.00,6.60,-,0.00,0.71,10.70,2.34,0.04,0.00
Peixe porquinho (água salgada),Carnes e ovos,100,83.00,0.04,19.40,0.66,0.00,48.60,0.40,0.10,0.00,0.01,0.02,0.00,25.90,24.40,0.05,207.00,0.39,66.70,313.00,0.04,0.66,34.00,4.65,0.00,0.00,1.19,-,0.00,0.00,0.00,0.00,0.00,0.00
Peixe salmão (água salgada),Carnes e ovos,100,167.00,0.83,19.30,9.71,0.00,53.00,2.47,2.90,3.13,0.01,0.02,0.00,8.75,27.40,0.00,258.00,0.24,64.20,376.00,0.02,0.34,0.00,0.00,0.20,0.03,3.21,-,0.00,3.13,24.60,0.00,0.00,0.00
Peixe sardinha (água salgada),Carnes e ovos,100,176.00,10.30,27.00,2.99,0.00,108.00,1.70,0.50,0.30,0.01,0.02,0.00,437.00,51.40,0.24,577.00,1.25,74.50,574.00,0.14,1.82,0.00,0.00,0.06,0.00,5.83,-,0.00,6.53,7.30,1.25,0.53,0.00
Peixe surumi (água salgada),Carnes e ovos,100,66.00,1.72,13.70,0.56,0.00,18.60,0.12,0.09,0.27,0.01,0.02,0.00,5.57,26.60,0.00,174.00,0.16,88.50,69.30,0.00,0.20,0.00,12.40,0.02,0.02,0.19,-,0.03,1.38,1.73,0.00,0.39,0.00
Peixe tainha (água salgada),Carnes e ovos,100,150.00,0.00,25.20,5.50,0.00,71.10,1.62,1.56,1.04,0.01,0.02,0.00,30.70,21.70,0.00,165.00,0.76,48.60,267.00,0.00,0.39,0.00,53.70,0.07,0.06,3.89,-,0.32,0.16,6.74,0.00,0.00,0.90
Peixe (caviar),Carnes e ovos,100,273.00,3.50,24.60,17.90,0.00,588.00,4.06,4.63,7.41,0.04,0.01,0.00,275.00,300.00,0.05,356.00,11.90,1500.00,181.00,0.11,0.95,65.50,271.00,0.19,0.62,0.12,-,0.32,20.00,50.00,2.90,1.89,0.00
Peru (defumado),Carnes e ovos,100,124.00,2.93,19.60,3.80,0.00,67.00,1.09,0.86,1.15,0.21,0.01,0.00,5.56,24.10,0.43,394.00,0.97,959.00,318.00,0.09,1.52,0.00,0.00,0.05,0.25,0.00,-,0.00,0.26,6.00,0.00,0.00,0.00
Peru (assado),Carnes e ovos,100,158.00,0.57,26.20,5.68,0.00,91.20,1.60,1.20,1.40,0.21,0.01,0.02,13.80,11.50,0.02,197.00,0.59,627.00,175.00,0.03,1.21,0.00,0.00,0.06,0.00,6.23,-,0.00,0.98,9.37,0.44,0.09,0.00
Porco (orelha),Carnes e ovos,100,161.00,0.20,16.00,10.80,0.00,90.00,3.86,4.91,1.15,-,-,0.00,18.00,7.00,0.01,24.00,1.50,167.00,40.00,0.01,0.20,4.40,0.00,0.02,0.07,0.56,-,0.01,0.04,0.00,0.00,0.00,0.00
Porco (pé),Carnes e ovos,100,232.00,0.00,21.90,16.10,0.00,107.00,4.34,8.01,1.54,-,-,0.00,0.00,5.00,0.02,82.00,0.98,73.00,33.00,0.06,1.05,23.00,0.00,0.02,0.06,0.59,-,0.04,0.41,2.00,0.00,0.09,0.00
Sobrecoxa de frango,Carnes e ovos,100,231.00,1.70,29.20,12.00,0.00,145.00,3.30,4.20,3.10,-,-,0.18,12.20,17.20,0.00,281.00,1.17,106.00,382.00,0.07,2.18,0.00,10.70,0.10,0.05,10.20,-,0.00,0.38,9.61,0.12,0.33,0.00
Achocolatado,Açúcares e doces,100,396.00,91.60,4.07,2.89,5.96,0.00,1.47,0.80,0.40,0.00,0.00,0.01,44.60,77.10,0.55,200.00,5.38,65.10,498.00,0.56,1.04,2.70,795.00,1.39,1.02,5.01,-,1.53,0.00,6.05,0.00,0.14,0.00
Açúcar cristal,Açúcares e doces,100,399.00,99.60,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.59,1.01,0.00,0.00,0.16,0.00,2.56,0.00,0.00,0.60,0.00,0.00,0.00,0.00,-,0.00,0.00,0.00,0.00,0.00,0.00
Açúcar mascavo,Açúcares e doces,100,381.00,94.40,0.76,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126.00,79.90,2.03,38.20,8.30,25.20,521.00,0.17,0.48,1.20,0.00,0.00,0.00,0.11,-,0.04,0.00,0.98,0.00,0.00,0.00
Bala (caramelo),Açúcares e doces,100,399.00,77.00,4.60,8.10,0.00,7.00,2.48,1.54,3.48,3.45,0.03,0.00,138.00,17.00,0.01,114.00,0.14,245.00,214.00,0.02,0.44,1.80,12.00,0.10,0.26,0.15,-,0.62,0.00,41.50,0.00,0.46,0.40
Bala (frutas),Açúcares e doces,100,393.00,98.00,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,3.00,5.00,3.00,0.30,38.00,3.00,0.03,0.01,0.60,0.00,0.00,0.00,0.01,-,0.00,0.00,0.00,0.00,0.00,0.00
Cacau em pó,Açúcares e doces,100,359.00,57.90,19.60,13.70,37.00,0.00,8.07,4.57,0.44,1.01,0.03,0.00,128.00,499.00,3.84,734.00,13.90,21.00,1524.00,3.79,6.81,14.30,0.00,0.08,0.24,2.19,-,0.12,0.00,32.00,0.00,0.10,0.00
Chocolate amargo,Açúcares e doces,100,576.00,45.90,7.79,42.60,10.90,0.03,24.50,12.80,1.26,1.06,0.12,0.00,54.40,132.00,0.00,308.00,6.27,27.40,427.00,0.00,1.57,0.00,2.00,0.03,0.08,1.05,-,0.04,0.28,0.00,0.00,0.59,0.03
Chocolate ao leite,Açúcares e doces,100,535.00,59.60,7.22,30.30,2.17,16.50,17.50,10.00,0.90,1.06,0.12,0.27,197.00,67.50,0.30,212.00,1.98,68.20,310.00,0.31,0.92,0.00,198.00,0.05,0.22,0.63,-,0.59,0.75,11.00,0.00,0.52,0.00
Chocolate branco,Açúcares e doces,100,549.00,59.20,5.87,32.10,0.00,21.00,19.40,0.10,1.01,1.06,0.12,0.00,384.00,38.50,0.00,0.00,0.19,108.00,321.00,0.00,1.23,0.00,9.00,0.00,0.00,0.00,-,0.75,0.00,0.56,0.00,0.96,0.00
Cocada,Açúcares e doces,100,445.00,81.40,1.12,13.60,3.57,0.00,8.40,0.40,0.10,0.14,0.00,0.00,7.06,17.40,0.36,396.00,1.24,29.00,183.00,0.20,0.41,9.58,0.00,0.00,0.00,0.47,-,0.16,0.00,24.50,0.00,0.10,0.00
Goiaba cascão,Açúcares e doces,100,308.00,78.70,0.41,0.10,4.37,0.00,0.00,0.00,0.00,0.09,0.03,0.00,14.70,9.67,0.16,28.20,0.40,11.00,250.00,0.08,0.14,0.00,25.20,0.00,0.00,1.41,-,0.00,0.00,0.00,0.00,0.00,34.30
Maria mole,Açúcares e doces,100,287.00,68.20,3.48,0.23,0.65,0.00,0.23,0.00,0.00,0.22,0.00,0.00,16.40,6.44,0.07,4.88,0.43,14.80,29.80,0.11,0.09,5.10,0.00,0.04,0.00,0.00,-,0.00,0.00,4.63,0.00,0.00,0.00
Marshmallow,Açúcares e doces,100,321.00,79.00,0.80,0.30,0.10,0.00,0.06,0.08,0.05,-,-,0.00,3.00,2.00,0.01,8.00,22.00,80.00,5.00,0.10,0.04,1.90,0.00,0.00,0.00,0.08,-,0.00,0.00,1.00,0.00,0.00,0.00
Mel,Açúcares e doces,100,324.00,80.90,0.17,0.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.20,8.31,0.56,3.04,0.62,6.06,123.00,0.02,0.33,0.78,0.00,0.10,0.00,0.00,-,0.00,0.00,1.96,0.00,0.00,0.71
Melado de cana,Açúcares e doces,100,306.00,76.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,111.00,102.00,2.06,55.80,3.70,8.16,330.00,0.53,0.41,0.07,0.00,0.00,0.05,0.00,-,0.20,0.00,0.00,0.00,0.00,0.00
Paçoca (amendoim),Açúcares e doces,100,493.00,52.40,16.00,26.10,7.32,0.00,4.10,10.00,7.30,0.00,0.00,0.00,22.50,100.00,1.05,198.00,1.13,166.00,347.00,0.38,1.56,4.80,0.00,0.00,0.00,0.00,-,1.20,0.00,152.00,0.00,4.94,0.00
